"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"R93","RESC1608X55N","97.05mm","96.4mm","97.05mm","96.4mm","96.25mm","96.4mm","T","360.00","4k7"
"R92","RESC1608X55N","97.05mm","97.875mm","97.05mm","97.875mm","96.25mm","97.875mm","T","360.00","4k7"
"R91","RESC1608X55N","102.475mm","35.65mm","102.475mm","35.65mm","103.275mm","35.65mm","T","180.00","4k7"
"R90","RESC1608X55N","103.3mm","41.425mm","103.3mm","41.425mm","103.3mm","40.625mm","T","90.00","4k7"
"R89","RESC1608X55N","145.375mm","90.5mm","145.375mm","90.5mm","144.575mm","90.5mm","T","360.00","Value"
"R88","RESC1608X55N","145.455mm","66.83mm","145.455mm","66.83mm","144.655mm","66.83mm","T","360.00","Value"
"R87","RESC1608X55N","145.4268mm","-4.9496mm","145.4268mm","-4.9496mm","144.6268mm","-4.9496mm","T","360.00","Value"
"R86","RESC1608X55N","116.625mm","41.8mm","116.625mm","41.8mm","116.625mm","42.6mm","T","270.00","4k7"
"R85","RESC1608X55N","119.8mm","72.175mm","119.8mm","72.175mm","119.8mm","71.375mm","T","90.00","4k7"
"R84","RESC1608X55N","145.4268mm","42.9504mm","145.4268mm","42.9504mm","144.6268mm","42.9504mm","T","360.00","Value"
"R83","RESC1608X55N","145.6528mm","18.7904mm","145.6528mm","18.7904mm","144.8528mm","18.7904mm","T","360.00","Value"
"R82","RESC1608X55N","125.95mm","99.225mm","125.95mm","99.225mm","125.15mm","99.225mm","T","360.00","10k"
"R81","RESC1608X55N","125.95mm","97.8417mm","125.95mm","97.8417mm","125.15mm","97.8417mm","T","0.00","10k"
"R80","RESC1608X55N","125.95mm","96.4583mm","125.95mm","96.4583mm","125.15mm","96.4583mm","T","360.00","10k"
"R79","RESC1608X55N","125.95mm","95.075mm","125.95mm","95.075mm","125.15mm","95.075mm","T","360.00","10k"
"R78","RESC1608X55N","125.95mm","93.6917mm","125.95mm","93.6917mm","125.15mm","93.6917mm","T","360.00","10k"
